input_text,target_text,t5,marian,mbart
"The name is derived from the Greek root astron for star, and nomos for arrangement or law.","Son nom vient du grec astron, qui veut dire étoile et nomos, qui veut dire loi.",Le nom est dérivé de l'astron racinaire grecque pour l'étoile et de nomos pour l'arrangement ou le droit.,"Le nom est dérivé de l'astron racine grecque pour étoile, et nomos pour l'arrangement ou la loi.","Le nom provient de la racine grecque astron pour l'étoile, et nomos pour l'arrangement ou la loi."
"Astronomy is concerned with celestial objects and phenomena - like stars, planets, comets and galaxies - as well as the large-scale properties of the Universe, also known as ""The Big Picture"".","Elle s'intéresse à des objets et des phénomènes tels que les étoiles, les planètes, les comètes, les galaxies et les propriétés de l'Univers à grande échelle.","L'astronomie s'intéresse aux objets et phénomènes célestes - comme les étoiles, les planètes, les comètes et les galaxies - ainsi qu'aux propriétés à grande échelle de l'Univers, aussi connues sous le nom de « Big Picture ».","L'astronomie s'inquiète des objets et des phénomènes célestes - comme des étoiles, des planètes, des cometes et des galaxies - ainsi que des propriétés à grande échelle de l'Univers, également connues sous le nom de ""La grande image"".","L'astronomie concerne les objets et les phénomènes célestes - comme les étoiles, les planètes, les cometes et les galaxies - ainsi que les propriétés à grande échelle de l'Univers, également connues sous le nom de ""The Big Picture""."
"More specifically, astronomy is the study of the origin and evolution of the Universe, the physics and chemistry of celestial objects, and the calculation of their positions and motions.","Plus spécifiquement, elle étudie la formation et l'évolution de l'Univers, détermine les propriétés physiques et chimiques des objets célestes qu'il contient et mesure leurs déplacements.","Plus précisément, l'astronomie est l'étude de l'origine et de l'évolution de l'Univers, de la physique et de la chimie des objets célestes et du calcul de leurs positions et mouvements.","Plus précisément, l'astronomie est l'étude de l'origine et de l'évolution de l'Univers, de la physique et de la chimie des objets célestes et du calcul de leurs positions et mouvements.","Plus précisément, l'astronomie est l'étude de l'origine et de l'évolution de l'Univers, de la physique et de la chimie des objets célestes et du calcul de leur position et de leurs mouvements."
"For most people, astronomy represents a world that is both mysterious and grandiose - a story about glimmering celestial objects and the immensity of the cosmos.","Pour la majorité des gens, l'astronomie évoque un monde à la fois mystérieux et grandiose, celui des étoiles et de l'immensité cosmique.","Pour la plupart des gens, l'astronomie représente un monde mystérieux et grandiose - une histoire d'objets célestes et de l'immensité du cosmos.","Pour la plupart des gens, l'astronomie représente un monde à la fois mystérieux et grandiose - une histoire sur les objets célestes brillants et l'immensité du cosmos.","Pour la plupart des gens, l'astronomie représente un monde à la fois mystérieux et grandiose - une histoire d'objets célestes glissants et de l'immensité du cosmos."
It prompts us to ask the deepest existential questions:,L'astronomie évoque donc aussi les grandes questions « existentielles » :,Il nous incitera à poser les questions les plus existentielles :,Il nous pousse à poser les questions existentielles les plus profondes :,Il nous pousse à poser les questions les plus profondes de l'existence :
Who are we?,Où sommes-nous?,Qui sommes-nous?,Qui sommes-nous?,Qui sommes-nous?
Where did we come from?,D'où venons-nous?,D'où sommes-nous venus?,D'où est-ce qu'on vient?,D'où venons-nous?
Are we alone?,Sommes-nous seuls?,tes-nous seuls?,On est seuls?,Nous sommes-nous seuls?
The lure of these universal enigmas was the spark that ignited the passion of many of today's famous astronomers.,L'attrait exercé par ces énigmes universelles a représenté l'étincelle initiale du parcours de nombreux grands astronomes.,L'attrait de ces énigmes universels était la scène qui a éveillé la passion de nombreux astronomes d'aujourd'hui.,L'attraction de ces énigmes universels était l'étincelle qui déclenchait la passion de nombreux astronomes célèbres d'aujourd'hui.,L'attrait de ces enigmes universels a été l'explosion qui a incendié la passion de nombreux astronomes célèbres d'aujourd'hui.
Astronomy also plays a much more practical role that is not nearly as important today as it was in the past.,"L'astronomie possède également une dimension beaucoup plus pratique et « terre à terre », laquelle est moins apparente aujourd'hui.",L'astronomie joue également un rôle beaucoup plus pratique qui n'est pas aussi important aujourd'hui que dans le passé.,L'astronomie joue également un rôle beaucoup plus pratique qui n'est pas aussi important aujourd'hui que dans le passé.,L'astronomie joue également un rôle beaucoup plus pratique qui n'est pas presque aussi important aujourd'hui que dans le passé.
"Since the time of our earliest ancestors, humans have used the motions of celestial objects to position themselves in space and time.","Depuis toujours, nous observons les mouvements du ciel pour nous repérer dans l'espace et le temps.","Depuis l'époque de nos ancêtres les plus anciens, les humains ont utilisé les mouvements d'objets célestes pour se positionner dans l'espace et le temps.","Depuis le temps de nos premiers ancêtres, les humains ont utilisé les mouvements des objets célestes pour se positionner dans l'espace et le temps.",Depuis le temps de nos ancêtres les humains ont utilisé les mouvements d'objets célestes pour se positionner dans l'espace et le temps.
Prehistoric humans studied the relationship between the seasons and the length of days to plan their hunting and gathering activities.,"Ainsi, l'homme préhistorique connaît bien la relation existant entre la variation de la durée du jour et le cycle des saisons; il s'en sert pour planifier ses déplacements de chasse et de cueillette.",Les humains préhistoriques ont étudié la relation entre les saisons et la durée des jours pour planifier leurs activités de chasse et de rassemblement.,Les humains préhistoriques ont étudié la relation entre les saisons et la durée des jours pour planifier leurs activités de chasse et de rassemblement.,Les humains préhistoriques ont étudié la relation entre les saisons et la durée des jours pour planifier leurs activités de chasse et de rassemblement.
"It was also by observing the positions of the stars that the first farmers decided when to plant and when to harvest, and early navigators could sail the oceans blue.",C'est aussi en observant la position des étoiles que les premiers agriculteurs décident du moment des grandes étapes de leur travail et que les navigateurs se repèrent sur les mers.,"C'est aussi en observant les positions des étoiles que les premiers agriculteurs ont décidé quand ils s'installeraient et quand ils s'en récoltaient, et que les premiers navigateurs pouvaient naviguer sur le bleu des océans.","C'est aussi en observant les positions des étoiles que les premiers agriculteurs ont décidé quand planter et quand récolter, et les premiers navigateurs pouvaient naviguer dans les océans bleu.","C'est aussi en observant les positions des étoiles que les premiers agriculteurs ont décidé quand planter et quand récolter, et les premiers navigateurs ont pu naviguer dans les océans en bleu."
"In the Age of Antiquity, astrometry - the measurement of the positions of stars and planets - was the main occupation of astronomers.","Durant l'Antiquité, l'astrométrie, qui est la mesure de la position des étoiles et des planètes, est la principale occupation des astronomes.","l'ère de l'Antiquité, l'astrométrie - la mesure des positions des étoiles et des planètes - était la principale occupation des astronomes.","Dans l'âge de l'antiquité, l'astrométrie - la mesure des positions des étoiles et des planètes - était l'occupation principale des astronomes.","Dans l'âge de l'Antiquité, l'astrométrie - la mesure des positions des étoiles et des planètes - était l'occupation principale des astronomes."
"There was some degree of interest for astronomy from the general public as well, since they believed that the positions of celestial objects influenced events that took place on Earth.","Pour le public, le travail n'est pas sans intérêt : on croit en effet que la position des objets célestes a un impact sur les évènements qui ont cours sur la Terre.","L'astronomie suscite également un certain intérêt de la part du grand public, car ils croient que les positions des objets célestes influencent les événements qui se produisent sur la Terre.","Il y avait aussi un certain intérêt pour l'astronomie du grand public, car ils croyaient que les positions des objets célestes influençaient les événements qui ont eu lieu sur la Terre.","Il y avait un certain intérêt pour l'astronomie de la part du grand public, car ils croyaient que les positions des objets célestes influaient sur les événements survenus sur la Terre."
"?During the Renaissance, advances in mathematics coupled with the invention of new observational instruments (like the refracting telescope) gave rise to modern astronomy.","?Lors de la Renaissance, les progrès en mathématiques réalisés depuis l'Antiquité et l'invention de nouveaux instruments d'observation (comme la lunette astronomique) conduisent à la naissance de l'astronomie moderne.","? Au cours de la Renaissance, les progrès en mathématiques, conjugués à l'invention de nouveaux instruments d'observation (comme le télescope réfractaire), ont donné naissance à l'astronomie moderne.","?Durant la Renaissance, les progrès en mathématiques associés à l'invention de nouveaux instruments d'observation (comme le télescope réfracteur) ont donné lieu à l'astronomie moderne.","Au cours de la Renaissance, les progrès de la mathématique associés à l'invention de nouveaux instruments d'observation (comme le télescope réfractaire) ont donné naissance à l'astronomie moderne."
"From the 19th century onwards, the discovery of the electromagnetic spectrum and the world of the atom spurred on the development of astrophysics, a new discipline in astronomy that is now considered to be the most important.","À partir de la fin du XIXe siècle, la découverte du spectre électromagnétique et du monde de l'atome va aussi mener à l'apparition d'une nouvelle branche de l'astronomie, la plus importante de nos jours : l'astrophysique.","Depuis le XIXe siècle, la découverte du spectre électromagnétique et du monde de l'atome a stimulé le développement de l'astrophysique, une nouvelle discipline astronomique qui est maintenant considérée comme la plus importante.","À partir du XIXe siècle, la découverte du spectre électromagnétique et du monde de l'atome a stimulé le développement de l'astrophysique, une nouvelle discipline en astronomie qui est aujourd'hui considérée comme la plus importante.","Depuis le XIXe siècle, la découverte du spectre électromagnétique et du monde de l'atome a stimulé le développement de l'astrophysique, une nouvelle discipline de l'astronomie qui est aujourd'hui considérée comme la plus importante."
"Today, astronomy covers several disciplines:","Aujourd'hui, l'astronomie comprend plusieurs disciplines dont :","Aujourd'hui, l'astronomie couvre plusieurs disciplines :","Aujourd'hui, l'astronomie couvre plusieurs disciplines :","Aujourd'hui, l'astronomie couvre plusieurs disciplines :"
"o Astrometry, which is the precise measurement of the position of stars and planets, and which is greatly facilitated by the use of modern CCD cameras and computers","o L'astrométrie, qui se charge de mesurer la position des étoiles et des planètes (et dont la pratique est aujourd'hui facilitée par l'utilisation des caméras CCD et des ordinateurs)","o Astrométrie, qui est la mesure précise de la position des étoiles et des planètes et qui est grandement facilitée par l'utilisation de caméras et d'ordinateurs modernes CCD","o L'astrométrie, qui est la mesure précise de la position des étoiles et des planètes, et qui est grandement facilitée par l'utilisation de caméras et d'ordinateurs modernes CCD","o Astrométrie, qui est la mesure précise de la position des étoiles et des planètes et qui est grandement facilitée par l'utilisation de caméras et d'ordinateurs CCD modernes"
"o Stellar astronomy, which is the study of the origins and evolution of stars","o L'astronomie stellaire, qui étudie l'origine, la formation et l'évolution des étoiles","o Astronomie Stellaire, qui est l'étude des origines et de l'évolution des étoiles","o astronomie stellare, qui est l'étude des origines et de l'évolution des étoiles","o Astronomie stellaire, qui est l'étude des origines et de l'évolution des étoiles"
"o Galactic astronomy, which studies the structure and components of galaxies","o L'astronomie galactique, qui étudie la structure et les composants des galaxies","o Astronomie galactique, qui étudie la structure et les composantes des galaxies","o astronomie galactique, qui étudie la structure et les composantes des galaxies","o Astronomie galáctique, qui étudie la structure et les composantes des galaxies"
"o Astrophysics, which studies the Universe and the physics of its constituents (luminosity, temperature, chemical composition)","o L'astrophysique, qui étudie la physique de l'Univers et les propriétés physiques de ses constituants (luminosité, température, composition chimique)","o Astrophysique, qui étudie l'Univers et la physique de ses constituants (luminosité, température, composition chimique)","o Astrophysique, qui étudie l'Univers et la physique de ses constituants (luminosité, température, composition chimique)","o Astrophysique, qui étudie l'Univers et la physique de ses constituants (luminosité, température, composition chimique)"
"o Cosmology, which studies the origin and evolution of the Universe as a whole Related to these fields of research are two disciplines that lie more within the domain of geologists and biologists: planetary science, which is the study of asteroids, comets and planets, and astrobiology, which studies the possibility of life in the Universe.","o La cosmologie, qui étudie l'origine et l'évolution de l'Univers dans son ensemble À ces domaines de recherche se rattachent deux disciplines qui sont surtout l'apanage des géologues et des biologistes : les sciences des planètes, qui se chargent de l'étude des astéroïdes, des comètes et des planètes, et l'astrobiologie, qui se charge de l'étude des possibilités de vie dans l'Univers.","o Cosmologie, qui étudie l'origine et l'évolution de l'Univers dans son ensemble Les deux disciplines qui sont plus reliées à ces domaines de recherche sont les suivantes : la science planétaire, qui est l'étude des astérodes, des comètes et des planètes, et l'astrobiologie, qui étudie la possibilité de la vie dans l'Univers.","o La cosmologie, qui étudie l'origine et l'évolution de l'Univers dans son ensemble Lié à ces domaines de recherche, sont deux disciplines qui se situent plus dans le domaine des géologues et des biologistes : la science planétaire, qui est l'étude des astéroïdes, des cometes et des planètes, et l'astrobiologie, qui étudie la possibilité de la vie dans l'Univers.","o La cosmologie, qui étudie l’origine et l’évolution de l’Univers dans son ensemble. À ces domaines de recherche s’ajoutent deux disciplines qui relèvent davantage du domaine des géologues et des biologistes : la science des planètes, qui est l’étude des asteroides, des cometes et des planètes, et l’astrobiologie, qui étudie la possibilité de la vie dans l’Univers."
"Nowadays, professional astronomers have a strong background in astrophysics and their observations are almost always examined in an astrophysical context.","Actuellement, les astronomes professionnels ont tous une formation poussée en astrophysique et leurs observations sont presque toujours étudiées dans un contexte astrophysique.",Heute haben die professionellen Astronomen einen starken Hintergrund in der Astrophysik und ihre Beobachtungen werden fast immer in einem astrophysischen Kontext untersucht.,"Aujourd'hui, les astronomes professionnels ont un fond fort dans l'astrophysique et leurs observations sont presque toujours examinées dans un contexte astrophysique.","Aujourd'hui, les astronomes professionnels ont un solide savoir-faire en astrophysique et leurs observations sont presque toujours examinées dans un contexte astrophysique."
"The most serious amateurs actively participate in the study of variable stars, the discovery of new asteroids or comets, and other exciting astronomical work.","Les astronomes amateurs jouent également un rôle important en recherche; les plus sérieux participant couramment au suivi d'étoiles variables, à la découverte de nouveaux astéroïdes et de nouvelles comètes, etc.","Les amateurs les plus sérieux participent activement à l'étude des étoiles variables, à la découverte de nouveaux astérodes ou de nouveaux comètes et à d'autres travaux astronomiques intéressants.","Les amateurs les plus sérieux participent activement à l'étude des étoiles variables, à la découverte de nouveaux astéroïdes ou comètes, et d'autres œuvres astronomiques passionnantes.","Les amateurs les plus sérieux participent activement à l'étude des étoiles variables, à la découverte de nouveaux asteroides ou de nouvelles cometes et à d'autres travaux astronomiques intéressants."
Video Sequence??John Richard Bond explains what the purpose of astronomy is .,Séquence vidéo??John Richard Bond explique le rôle de l'astronomie.,Video Sequence??John Richard Bond explique l'objet de l'astronomie.,Sequence vidéo??John Richard Bond explique quel est le but de l'astronomie.,Video Sequence??John Richard Bond explique quel est le but de l'astronomie.
© 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,© 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic,2006 Une idée originale et une réalisation du ASTROLab du parc national Mont-Mégantic,© 2006 Une idée originale et une réalisation de l'ASTROLab du parc national Mont-Mégantic,© 2006 Une idée originale et une réalisation du laboratoire ASTRO du parc national Mont-Mégantic
Astronomers © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,Astronomes © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic,Astronomes  2006 Une idée originale et une réalisation du ASTROLab du parc national Mont-Mégantic,Astronomes © 2006 Une idée originale et une réalisation de l'ASTROLab du parc national Mont-Mégantic,Astronomes © 2006 Une idée originale et une réalisation du Laboratoire ASTRO du parc national Mont-Mégantic
Astronomers Timeline,Astronomes Ligne de temps,Astronomens Chronologie,Calendrier des astronomes,Échéancier des astronomes
Verbatim A journey into Canadian astronomy,Verbatim L'aventure astronomique canadienne,Verbatim Un voyage dans l'astronomie canadienne,Libellé Un voyage en astronomie canadienne,Verbatim Un voyage dans l'astronomie canadienne
"Instruments The ancient Egyptians use the transit for the first time about 4,000 years ago.","Instruments Les Égyptiens utilisent le transit pour la première fois, environ 2000 ans avant Jésus-Christ.","Instruments Les anciens Égyptiens utilisent le transit pour la première fois, il y a environ 4 000 ans.",Instruments Les anciens Egyptiens utilisent le transit pour la première fois il y a environ 4 000 ans.,Instruments Les anciens Égyptiens utilisent le transit pour la première fois il y a environ 4 000 ans.
Instruments The astrolab and octant are the predecessors of the sextant.,Instruments L'astrolabe et l'octant sont les ancêtres du sextant.,Instruments L'astrolab et l'octant sont les prédécesseurs du sextant.,Instruments L'astrolab et l'octante sont les prédécesseurs du sextant.,Instruments L'astrolab et l'octane sont les prédécesseurs du sextant.
"Observatories For thousands of years, native people use the stars to navigate and to monitor the passage of time.","Observatoires Depuis des milliers d'années, les autochtones observent les étoiles pour se repérer dans l'espace et le temps.","Observatoires Depuis des milliers d'années, les autochtones utilisent les étoiles pour naviguer et surveiller le passage du temps.","Observatoires Pendant des milliers d'années, les autochtones utilisent les étoiles pour naviguer et surveiller le passage du temps.","Observatoires Depuis des milliers d'années, les peuples autochtones utilisent les étoiles pour naviguer et surveiller le passage du temps."
"Stars are also the inspiration for native legends, which are passed down from generation to generation.",Ils s'en inspirent aussi pour créer des légendes fabuleuses transmisent de génération en génération.,"Les étoiles sont également l'inspiration des légendes autochtones, qui sont transmises de génération en génération.","Les étoiles sont aussi l'inspiration pour les légendes natives, qui sont transmises de génération en génération.","Les étoiles sont également l'inspiration pour les légendes autochtones, qui sont transmises de génération en génération."
"Instruments The Assyrians are likely the first to use lenses to magnify objects, probably around 1,500 BC.",Instruments Les Assyriens sont vraisemblablement les premiers à utliser la lentille pour grossir les objets aux environs de 1500 ans avant Jésus-Christ.,"Instruments Les Assyriens sont probablement les premiers à utiliser des lentilles pour magnifier les objets, probablement vers 1 500 av. J.-C.","Instruments Les Assyriens sont probablement les premiers à utiliser des lentilles pour agrandir les objets, probablement vers 1 500 avant JC.","Instruments Les Assyriens sont probablement les premiers à utiliser des lentilles pour magnifier des objets, probablement vers 1 500 p."
"Evolution of images Flemish painter Jan van Eyck makes the first known drawing of the Moon in his painting entitled ""The crucifixion"".","ÉvolutionImages Le peintre flamand Jan van Eyck réalise le dessin le plus ancien connu de la Lune dans son tableau intitulé ""La crucifixion"".",Évolution des images Le peintre flamand Jan van Eyck fait le premier dessin de la Lune dans son tableau intitulé « La crucifixion ».,"Évolution des images Peintre flamand Jan van Eyck fait le premier dessin connu de la Lune dans sa peinture intitulée ""La crucifixion"".",Évolution des images Le peintre flamand Jan van Eyck fait le premier dessin connu de la Lune dans sa peinture intitulée « La crucifixion ».
"Observatories By exploring Newfoundland, John Cabot becomes the first known European to set foot on Canadian soil.","Observatoires En explorant Terre-Neuve, John Cabot est le premier Européen reconnu à fouler le sol canadien.","Observatoires En explorant Terre-Neuve, John Cabot devient le premier Européen connu à s'installer sur le sol canadien.","Observatoires En explorant Terre-Neuve, John Cabot devient le premier européen connu à mettre des pieds sur le sol canadien.","Observatoires En explorant Terre-Neuve, John Cabot devient le premier Européen connu à pénétrer sur le sol canadien."
"Like all explorers of his time, he navigates using the stars.","Comme tous les navigateurs de l'époque, il se dirige grâce aux étoiles.","Comme tous les explorateurs de sa époque, il navigue en utilisant les étoiles.","Comme tous les explorateurs de son temps, il navigue en utilisant les étoiles.","Comme tous les explorateurs de son époque, il navigue en utilisant les étoiles."
Evolution of images Leonardo da Vinci draws this sketch of the Moon.,ÉvolutionImages Leonard de Vinci effectue ce croquis de la Lune.,Evolution des images Leonardo da Vinci dessine ce croquis de la Lune.,Évolution d'images Leonardo da Vinci dessine ce sketch de la Lune.,Évolution des images Leonardo da Vinci dessine ce sketch de la Lune.
Observatories Jacques Cartier explores the continental interior.,Observatoires Jacques Cartier explore l'intérieur du continent.,Observatoires Jacques Cartier explore l'intérieur continental.,Les observatoires Jacques Cartier explore l'intérieur continental.,Observatoires Jacques Cartier explore l'intérieur continental.
He finds the mouth of the Saint-Lawrence during the Perseid meteor shower.,Il trouve l'entrée du fleuve Saint-Laurent au moment de la pluie d'étoiles filantes des Perséides.,Il trouve la bouche de Saint-Lawrence lors de la douche de météorologie de Perseid.,Il trouve la bouche de la Saint-Laurent pendant la douche de météo Perseid.,Il trouve la bouche du Saint-Lawrence durant la chute météorologique de Perseid.
Instruments Leonard Digges constructs the first telescope using lenses.,Instruments Léonard Digges réalise en Angleterre le premier assemblage de lentilles en une lunette d'approche.,Instruments Leonard Digges construit le premier télescope à l'aide de lentilles.,Instruments Leonard Diggies construit le premier télescope en utilisant des lentilles.,Instruments Leonard Digges construit le premier télescope à l'aide de lentilles.
"Observatories The roots of astronomy take hold in Canada with the arrival of Samuel de Champlain, the first governor of New France.","Observatoires L'astronomie fait ses débuts au Canada avec l'arrivée du premier gouverneur de la Nouvelle-France, Samuel de Champlain.","Observatoires Les racines de l'astronomie prennent racine au Canada avec l'arrivée de Samuel de Champlain, premier gouverneur de la Nouvelle-France.","Observatoires Les racines de l'astronomie prennent place au Canada avec l'arrivée de Samuel de Champlain, le premier gouverneur de la Nouvelle-France.","Observatoires Les racines de l'astronomie se retrouvent au Canada avec l'arrivée de Samuel de Champlain, premier gouverneur de la Nouvelle-France."
Evolution of images British astronomer Thomas Harriot uses a refracting telescope to make the first sketch of the Moon many months before Galileo performs the same feat.,ÉvolutionImages Le Britannique Thomas Harriot réalise (plusieurs mois avant Galilée) le premier croquis de la Lune à partir d'une lunette astronomique.,Evolution des images L'astronome britannique Thomas Harriot utilise un télescope réfractaire pour faire le premier croquis de la Lune plusieurs mois avant que Galileo ne fasse le même travail.,"Évolution des images Thomas Harriot, astronome britannique, utilise un télescope réfracteur pour faire le premier schéma de la Lune plusieurs mois avant que Galileo accomplisse le même exploit.",Évolution des images L'astronome britannique Thomas Harriot utilise un télescope réfractaire pour faire la première ébauche de la Lune plusieurs mois avant que Galileo ne réalise la même tâche.
"Instruments In Italy, Galileo publishes ""The Starry Messenger"" and makes revolutionary astronomical observations using a telescope he built himself.","Instruments En Italie, Galilée publie «Le messager des étoiles» et résume les observations astronomiques révolutionnaires qu'il a effectuées avec une lunette astronomique de sa fabrication.","Instruments En Italie, Galileo publie ""Le Messager de l'Étoile"" et fait des observations astronomiques révolutionnaires à l'aide d'un télescope qu'il a construit lui-même.","Instruments En Italie, Galileo publie ""The Starry Messenger"" et fait des observations astronomiques révolutionnaires à l'aide d'un télescope qu'il s'est construit.","Instruments En Italie, Galileo publie ""The Starry Messenger"" et réalise des observations astronomiques révolutionnaires à l'aide d'un télescope qu'il a construit lui-même."
Observatories Jesuits record the first astronomical observations made in Canada.,Observatoires Les Jésuites rapportent les premières observations astronomiques faites à partir du Canada.,Observatoires Les Jésuites enregistrent les premières observations astronomiques faites au Canada.,Les observatoires Jésuites enregistrent les premières observations astronomiques faites au Canada.,Observatoires Les Jesuits enregistrent les premières observations astronomiques effectuées au Canada.
Observatories Astronomy becomes an official task assigned to the Engineer-in-Chief and Land Surveyor for the New France colony in Quebec.,Observatoires L'astronomie devient officiellement partie intégrante des tâches de l'Ingénieur de Québec et Arpenteur général de la colonie.,Observatoires Astronomie devient une tâche officielle confiée au chef de l'ingénieur et au rempart de la Nouvelle-France en Québec.,Observatoires L'astronomie devient une tâche officielle assignée à l'ingénieur en chef et à l'enquêteur foncier pour la colonie de la Nouvelle-France au Québec.,Observatoires L'astronomie devient une tâche officielle confiée à l'ingénieur en chef et à l'arpenteur des terres de la colonie de la Nouvelle-France au Québec.
Observatories Jean Bourdon is the first Canadian to own a telescope.,Observatoires Jean Bourdon est le premier Canadien à posséder une lunette astronomique.,Observatoires Jean Bourdon est le premier Canadien à posséder un télescope.,Les observatoires Jean Bourdon est le premier Canadien à posséder un télescope.,Observatoires Jean Bourdon est le premier Canadien à posséder un télescope.
"Evolution of images The first known drawing of the Orion nebula, drawn by Giovanni Batista Hodierna.",ÉvolutionImages Premier dessin connu de la nébuleuse d'Orion par Giovanni Batista Hodierna.,"Évolution des images Le premier dessin connu du nébula d'Orion, dessiné par Giovanni Batista Hodierna.","Évolution des images Le premier dessin connu de la nébuleuse d'Orion, dessiné par Giovanni Batista Hodierna.","Évolution des images Le premier dessin connu de la nébulose Orion, dessiné par Giovanni Batista Hodierna."
1667 : pollution Louis XIV commands all roads in the capital of Paris to be lit at night in order to combat thefts and other crimes.,1667 : pollution Louis XIV impose l'éclairage de toutes les rues de la capitale (Paris) pour lutter contre les vols et les crimes.,1667 : pollution Louis XIV commande que toutes les routes de la capitale de Paris soient éclairées la nuit pour lutter contre les vols et autres infractions.,1667 : pollution Louis XIV commande que toutes les routes de la capitale de Paris soient allumées la nuit pour combattre les vols et autres crimes.,1667 : pollution Louis XIV commande que toutes les routes de la capitale de Paris soient éclairées à la nuit pour lutter contre les vols et autres crimes.
Instruments Isaac Newton builds his telescope.,Instruments Isaac Newton fabrique son télescope.,Instruments Isaac Newton construit son télescope.,Les instruments Isaac Newton construit son télescope.,Instruments Isaac Newton construit son télescope.
